昵称,首页地址,阅读数,最近一条推文,最近推文时间,数据更新于,行业,行业标签,行业排名,行业Top5
Robinson · 鲁棒逊,https://x.com/python_xxt,44000,之前看大伟哥他们创业的过程，我被米哈游的 All in 能力震撼过，也被他们很早布局 AI 游戏这件事打动过。 但很遗憾，我并不看好他们做基础 AI 准确说： 我看好米哈游把 AI 用进游戏。 不看好米哈游在 AI基础模型层能上桌。 游戏行业的顶级能力，和 AI 基础模型行业的顶级能力，不是同一种能力结构，其中的智力水平也有一道鸿沟。 这不是热情、努力、堆人、砸钱就能抹平的差异。 更关键的是，蔡浩宇也从米哈游一线管理位置退下来，转向新项目和前沿科技方向，并在新加坡另起一个 AI 游戏团队。 这个动作本身就是一个信号。 如果一个对自己公司了解最深的创始人，认为AI能在米哈游内部做出来，他不会跑去新加坡重新搭一个团队。他离开米哈游做AI游戏，恰恰证明他知道米哈游在这方面有局限性。 我的判断是：看好米哈游做 AI 游戏、AI NPC、AI 情感角色、AI 内容管线，但不看好他们成为基础模型层的玩家。,2026-05-17T09:05:29+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,16,
AIGCLINK,https://x.com/aigclink,3811,微软最新开源了一个面向电力系统的AI基础模型：GridSFM，用来加速电力行业里交流最优潮流计算的研究 GridSFM用图神经网络近似AC-OPF求解，把电网当作一张图，直接预测近似最优运行点，再作为传统精确求解器的热启动初值，加速收敛 一个模型覆盖多种电网，跨拓扑通用 以前的做法是每个电网拓扑训练一个独立模型，换个电网就得重新训，GridSFM用数十到数百个不同规模和结构的电网一起训练，实现单一模型跨拓扑通用 这就意味着同类结构范围内新电网拿来就能用，不需要重新收集数据重新训练 预测+可行性判断双头输出，不只输出运行点，同时判断场景是否可行 这在大规模场景扫描中比较实用，快速过滤不可行场景，避免对不可能运行的工况白白调用求解器 GridSFM输出完整交流解，包括电压幅值和相角、有功/无功出力、有功/无功线路潮流等，这使得它能作为精确求解器的热启动，实现1.45倍加速 跨拓扑、带可行性分类的AC-OPF神经网络模型，相当于给电力系统优化装了一个AI加速器 GridSFM有两个版本，一个Open版开源的，约1500万参数，一个Premier版暂未开源 应用场景比如说，电网仿真与行为研究、大规模配置快速评估等 #GridSFM #AI电力模型,2026-05-16T13:36:40+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,42,
杀破狼 WolfyXBT,https://x.com/wolfyxbt,470000,嗨 @nikitabier @elonmusk 有大量账号在 X 的中文区策划一场恐怖行动，希望你们严肃以待，他们都在大批量地刷「打飞机」的评论，不知道是要袭击哪一架飞机，据我所知已经有上千个 X 账号涉及这次的行动。,2026-05-17T11:43:21+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,2,Y
apple流川枫,https://x.com/boniusex,3274,卧槽，Claude 老是风控、抽风、打不开，可能不是模型问题，是你 IP 不干净。 这个网站可以直接测 Claude IP 纯净度： 做 Claude Code、Claude Desktop、API 中转OpenRouter 的都建议先测一下。,2026-05-17T07:49:55+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,46,
黄赟,https://x.com/huangyun_122,15000,"这条约束非常有 AI Harness 的味道：最近实践四点前努力，四点后下班 自 ChatGPT 出世后每天都在上面花很多时间，甚至我这万年躺平老登也开始急躁了。刚开始 2点睡，后来拖成 3,4，5点 AI 不是帮我提效的嘛，实际上活儿越干越多。 直到看到这条我才明白，我那是玩心起了，根本不算提效。把活儿的完成时间，压缩压缩再压缩，那才是真玩 AI 啊 所以今儿起我也给自己定 2 个约束： 1/ 在确保质量同时，把活儿完成时间无限缩短 2/ 当 1/ 无法再突破时，突破单产（单位时间产出）",2026-05-16T10:26:32+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,27,
KK.aWSB,https://x.com/KKaWSB,15000,"说一件AI圈反常识的事： 本地跑大模型省钱这个叙事，今天被一篇 williamangel的实测稿正面翻车了。 测试机是 14 寸 M5 Max + 64GB 内存，零售价 $4,299。Gemma 4 31B 本地推理速度 10-40 token/s，按 $0.18-$0.20/kWh 的家庭电价摊算，每百万 token 综合成本落在 $0.40-$4.79 这个区间。看起来不错——本地、私密、零订阅费。 但 OpenRouter 同一个模型 $0.38-$0.50/百万 token，部分供应商吞吐 60-70 token/s。云端比本地便宜，速度还快两倍。 问题在哪：""本地跑模型省钱""这个故事里最大的认知错位是——它默认那台 $4,299 的机器是免费的。机器本身就是成本，电也是成本，时间也是成本：折旧、闲置、机房噪音、笔记本插电时长、Mac mini 不开机就跑不了任务。 为什么这个故事流行：一是订阅疲劳，大家受够了月费叠加，本地跑像是""一次性买断算力""；二是隐私和离线作为真实需求，被错位地包装成了""省钱""卖点；三是 Apple Silicon 的 unified memory + MPS 硬件叙事确实漂亮，但漂亮不等于划算。 本地推理赢的是隐私、离线、可控、不被 rate limit 卡脖子。它输的恰恰是按账算。 这台 M5 Max 不是私有 AI 数据中心，它是一台贵价开发机，碰巧也能跑模型。 参照系是当年的自建挖矿机。技术上完全可行，但电费和折旧很快把账面利润吃光，最后真赚钱的不是矿工，是矿池和云算力。LLM 这一轮，OpenRouter 们就是新的矿池。",2026-05-17T19:08:53+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,28,
victor-wu.eth,https://x.com/victor_wu,52000,帮转帮转,2026-05-15T06:17:04+00:00,2026-05-17T21:24:00+00:00,crypto,加密,4,Y
比特币总裁,https://x.com/chairbtc,86000,哈哈哈，这版太应景了，难怪马斯克一脸幸福的样子,2026-05-17T15:53:52+00:00,2026-05-17T21:24:00+00:00,crypto,加密,3,Y
先知,https://x.com/Crypto_He,52000,有一说一雷军和马斯克这张合影还是很有质感的,2026-05-17T11:12:28+00:00,2026-05-17T21:24:00+00:00,crypto,加密,5,Y
Roland的思考日记,https://x.com/rwayne,4549,"Claude 和 GPT 是用两种方式思考的 你怎么对它说话,比挑哪个模型更要紧 90% 用 AI 的人还在拿同一个 prompt 灌不同模型 怪不得效果差那么多",2026-05-17T09:02:00+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,39,
Jason Young,https://x.com/Jason_Young1231,8434,比我写的详细！,2026-05-17T07:49:41+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,33,
阿绎 AYi,https://x.com/AYi_AInotes,96000,AI时代，一定要用最聪明的大模型，一定要用苹果电脑！ 4月份商单赚了2万多块， 给自己升级下装备， 按照之前don哥推荐， 入手了一台15寸MacBook M5， 1个T，24G内存，轻便+大屏， 特别香！ 之前玩摄影的时候单反相机对我来说就是男人最好的大玩具， 现在玩AI，MacBook M5就是我的梦中情机💻,2026-05-17T08:55:37+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,8,
ahhhhfs,https://x.com/abskoop,43000,Notion知识库管理,2026-05-17T04:55:04+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,13,
sitin,https://x.com/sitinme,11000,有一个挺有意思的开源项目，叫 Cider，专门给 Apple Silicon 芯片的 Mac 做本地 AI 推理加速。 很多人买了 Mac mini、MacBook Pro ，想在本地跑模型，但总会出现速度不够快、内存吃得猛的情况 其实 Mac 的芯片算力并不弱，尤其是 M 系列，问题更多在于这些硬件能力没有被充分用起来。Cider 做的事情，就是把这些潜力尽可能释放出来，让本地模型跑得更快、占用更少。 简单理解，Cider 是一个面向 Apple Silicon 的本地推理加速框架，适配 MLX 生态。像 Qwen、Llama、Mano-P 等接入 MLX 的模型，都可以尝试用它来加速。 官方数据里，在部分场景下推理速度能有比较明显的提升，尤其是多任务、高并发、本地视觉模型推理这类场景，会更有感觉。 它能带来的实际价值也很直接：比如你想在本地跑视觉语言模型，让 AI 看屏幕、操作界面、做自动化测试，或者处理一些不方便上传到云端的数据，Cider 就比较适合。 整个过程可以尽量在本地完成，数据不出设备，对个人隐私和企业内部场景都更友好。 安装也很简单，克隆项目后 pip install -e . 就能用。M5+ 芯片可以获得完整加速，M4 也能自动适配。,2026-05-17T11:43:00+00:00,2026-05-17T21:24:00+00:00,semiconductor,半导体,2,Y
郭宇 guoyu.eth,https://x.com/turingou,23000,马上加入 waitlist！,2026-05-17T04:49:15+00:00,2026-05-17T21:24:00+00:00,crypto,加密,11,
Max For AI,https://x.com/MaxForAI,12000,为什么大家都在从 Claude 转向 Codex？,2026-05-17T08:10:47+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,32,
Bear Liu,https://x.com/bearliu,4036,看完了第二季《怒呛人生》。 这结局真的太赞了，虽然不是happy ending。它拍出了当一个好人有多难、掉进诱惑里又有多容易。 到头来，你会变成那个后悔的自己，会想回去跟年轻的自己聊聊天，希望他能懂----就像Josh对Austin那样。可惜Austin也走了差不多的路。他眨了一下眼。 然后八年之后，他在车里又停顿了一下，又眨了一次眼，心里想着：要是选了另一条路呢？会是什么样？世界不会为你改变，你只能服从。这就是这一集 finale 的标题----You Will Obey。 我想起贾樟柯的《站台》。原本坐在自行车后座，对世界充满幻想的那个年轻人，最终也尸体般躺在了沙发上。在炉子旁，他的妻子正在哄着小孩。 这剧真赞。,2026-05-17T08:46:01+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,50,
猫叔的职场笔记,https://x.com/haowue,13000,31个让你魅力十足的微观行为：,2026-05-17T02:05:03+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,25,
小鹏Digital,https://x.com/ShoryuPaw,36000,RT @SaurabhSharma_I: What is GitHub did the same,2026-05-17T06:20:49+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,15,
Karl e/acc,https://x.com/immortal_00994,38000,RT @yuyy614893671: CItadel的CEO和创始人肯·格里芬对AI的看法发生了重大转变： “首先，在过去的几个月里，人工智能工具包的生产力发生了飞跃式的变化。它比九个月前强大得多。对我们 Citadel 来说，这使我们能够开发出更广泛的人工智能应用场景…,2026-05-17T17:42:34+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,17,
币圈李二狗,https://x.com/biquanliergou,7490,终于来了！Websea 最新进展更新！ 中东财团已确认注资 Websea，官方宣布5月18日正式恢复提现，同时计划上线储备金证明（PoR）机制。 此前提现风波虽闹得人心惶惶，但经确认主要是流动性暂时枯竭，并非平台主观跑路或失联。 目前来看，平台仍有自救意愿。 成败在此一举——18号能否让用户顺利提币，将是重塑信任的关键节点。 希望Websea能兑现承诺，稳住用户信心，真正走出困境。加密市场从来不缺故事，就看这次是浴火重生，还是昙花一现。 各位持仓用户，18号见真章！@Websea @Websea_CN,2026-05-17T09:07:46+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,38,
Nice奈斯,https://x.com/Nicebabycat,140000,为什么问有没有好赌的爸爸，生病的妈妈，上学的弟弟，家暴的老公？,2026-05-17T18:02:00+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,4,Y
ilovelife,https://x.com/garrulous_abyss,30000,RT @_FORAB: 如果有一天，突然很多人通过手机号，加你的微信不要感到惊慌，可能是 AI 把你的手机号，误识别是卖猪的商家了。 最近这种案例，似乎正在变多。,2026-05-17T07:57:36+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,19,
宁波保安孙师傅,https://x.com/eGUAbe2V7j26GHw,8590,有这样一句管理名言：对于有能力的下属，最好的奖赏，就是给他更多难度更高的任务。中国机会多呀，就像过去25年里，中国曾经是全世界最大的建筑试验田。我跟老外建筑师交流过，他们可羡慕中国的设计院了，有那么多新项目做。他们那块市场已经高度成熟，做新项目的机会太少了。,2026-05-17T07:43:41+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,32,
一格,https://x.com/YigeKing,75000,笑死了，世界居然这么小，居然是我朋友的，可以借来玩看看了😏,2026-05-17T05:31:23+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,9,
硅予,https://x.com/Leslieyu0,17000,悲报， 我的创作者收益也被暂停了！ 没有任何理由。  我自查了账号，有可能是最近 AI 生成视频发的比较多， 流量比较大，导致触发平台规则。但是我的每个 AI 视频都标注了。 或许是我操作问题吧，发帖时标注了 AI，但是它发出来后没有显示 AI 标识。不知道为什么。,,,ai_tech,AI / 大模型,23,
老范讲故事,https://x.com/lukfan,9541,ENEMY短剧爆火，50亿播放只有2392元收入？ via @YouTube,2026-05-17T00:35:19+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,29,
LIN WEI,https://x.com/skywind3000,6672,享受时代红利的是少数，大部分 80 后的爹妈（50/60后）碰到的是下岗潮，我妈就是国有工厂改制，40 多岁下的岗，我们班上不少同学家里碰到这种情况，最惨的是爹妈一起下岗的，这还是省会城市，我不知道你们说的 “托举” 在哪里？后面大学一个宿舍里至少有一名申请助学贷款的，这才是 80 后普遍情况。,2026-05-17T02:54:39+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,41,
polebug,https://x.com/polebug,4890,我最近刷小红书，总刷到一些「看看大家 vibe coding 的作品」的帖子，点开评论区，发现里贴出的 vibe coding app 成百上千......  让我突然想到，一两年前，vibe coding 刚开始发展的时候，我以为 idea 是最重要的，得先发现有哪些问题需要被解决，然后才能进一步去创造价值。  但是，当我翻完几百条,,,unclassified,未分类,47,
响马,https://x.com/xicilion,5505,可以可以，我来用一下。,2026-05-17T04:05:08+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,43,
AI最严厉的父亲,https://x.com/dashen_wang,170000,"来： 无处告别 邀请您参加腾讯会议 会议主题：企业AI转型闭门训练营（每晚八点公开讨论） 会议时间：2026/05/17 20:00-21:00 (GMT+08:00) 中国标准时间 - 香港 重复周期：2026/05/15-2026/05/21 20:00-21:00, 每天 点击链接入会，或添加至会议列表： #腾讯会议：357-3572-4463 复制该信息，打开手机腾讯会议即可参与",2026-05-17T12:31:24+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,4,Y
Justin,https://x.com/interjc,13000,Sublime Text 还是很好用的，直到现在我安装任何 VSCode based editor 第一件事就是改为 sublime 快捷键方案 而且作为单纯的编辑器他冷启动速度确实快多了，如果加上 git 相关功能就是非常理想的 AI 时代辅助 IDE,2026-05-17T06:46:39+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,29,
VerySmallWoods,https://x.com/verysmallwoods,8173,据说，Next.js 刚遭受最严重的漏洞。 话不多说，赶紧升级到最新版本吧。,2026-05-14T23:48:25+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,35,
Iggie,https://x.com/Kenntnis22,1070000,狼王献祭自己来拯救族群🥹看哭了,2026-05-17T18:20:05+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,1,Y
数码荔枝,https://x.com/DIGITALYCHEE,7312,最近新入手索尼 INZONE H9 II 游戏耳机，然后看到网上那么多人不知道如何更好发挥这款耳机的全部实力。 于是，写下一篇《H9 II 设置指南》,2026-05-13T05:46:27+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,40,
夜行貓頭鷹,https://x.com/NOTonlywater,4018,RT @TaiwanNewsEN: Taiwan reaffirms defense commitment despite delayed US arms package,2026-05-17T04:12:36+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,41,
PlayForge AI,https://x.com/94vanAI,7365,GPT-image2 Style 2.5D厚塗風格海報＆《惡魔戰士》TOP級高端海報 👈Queen Bee 👉HSIEN-KO Lei-Lei 靈魂蜂 仙姑-蕾蕾,2026-05-17T07:48:05+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,34,
Jiayuan (JY) Zhang,https://x.com/jiayuan_jy,4987,.@MulticaAI added a usage dashboard for your team.,2026-05-16T15:48:39+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,38,
Blue Sky,https://x.com/Anpo_Star,24000,🚨 突发消息：参议员比尔·卡西迪（Bill Cassidy）落败了。 这位路易斯安那州共和党参议员，在五年多前投票支持定罪川普后，如今已在共和党初选中出局。 川普随后在 Truth Social 发文猛烈回击： “他对那个帮助他当选的人表现出的不忠，如今已经成了传奇。看到他的政治生涯彻底结束，真是件好事！” 据美联社（AP）消息，获川普支持的众议员朱莉娅·莱特洛（Julia Letlow）与路易斯安那州财政官约翰·弗莱明（John Fleming）排名领先卡西迪，二人将于下个月进入决选对决。 🇺🇸🔥,2026-05-17T05:13:16+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,19,
哥飞,https://x.com/gefei55,7970,群友 4 月做的新站，喜提 70 万点击，让我们恭喜这位努力且幸运的群友。 说努力是我知道他这个域名是那天 0 点买的，买完就立马上线了，才有了后续的一切。 说幸运是他后来居上，拿到了很多别的渠道的增长，超过了之前上站的群友。 当然，这也得益于这两年他不断上站积累下来的经验，知道一个站，怎么更快更好的上线发布。 随便糊弄一下，显然是不行的。 顺便“批评”下某些群友，抢域名很积极，上站不积极，结果域名注册好了，就放在那里吃灰，完全是浪费钱。 其实不要害怕，慢点就慢点，晚几天甚至晚几周都没事，买了域名就要上线。 你总得对得起自己花出去的域名钱吧。,2026-05-08T08:28:57+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,37,
Rainier,https://x.com/mtrainier2020,49000,Rubio 算是房间里成年人，下届总统热门候选人// Extended Interview: Tom Llamas sits down with Secretary of State Marco R... via @YouTube,2026-05-16T02:12:38+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,15,
开发者Hailey,https://x.com/IndieDevHailey,100000,8 个已被验证、适合 solo/小团队做的赚钱产品（2026 低饱和版） 1. 垂直销售跟进工具：牙医、医美、律所、地产专用，解决线索跟进、预约、老客回访。老板愿意为多接单长期付费。 2. 广告素材情报：实时拆解正在跑的跨境/电商广告（开头、文案、节奏），帮投手省测试费。 3. 本地服务数字跟进：水电工、装修、汽修等行业的自动回访、预约和线索筛选，直接提升成交率。 4. 项目风险扫描：输入公司/项目，快速查背景、风险信号和舆论问题，投资合作前刚需。 5. 创作者增长雷达：提前发现快火的博主，帮品牌、MCN 找潜力创作者。 6. 行业情报会员站：专注跨境、电商、出海等领域，卖关键变化和信息差。 7. 报价合同助手：自动生成报价、条款、谈判建议，帮 freelancer 少踩坑、多赚钱。 8. 评论区获客工具：分析最佳评论时机和话术，用低成本拿流量。 一个趋势越来越明显： 越细分，越容易赚钱。 很多小而垂直的产品，反而比大平台更容易跑出现金流。,2026-05-17T03:44:22+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,7,
老张来了,https://x.com/laozhang2579,37000,做个不是AI的实验🧪,2026-05-17T04:42:36+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,18,
axiaisacat,https://x.com/axiaisacat,81000,"最近发现一个极其硬核的 ""skills""！  如果你平时也用 Cursor 或 Claude 撸前端，那你一定要试试  @pbakaus  开源的 Impeccable。  之前让 AI 写 UI，做出来的东西总有一种廉价的“外包感”，因为 AI 根本不懂设计规范。但这个项目，相当于给你的 AI 强行注入了“顶级设计师的灵魂” ",,,ai_tech,AI / 大模型,10,
苏打白.Dev,https://x.com/sodawhite_dev,100000,太强了！今年夏天多了项乐趣！,2026-05-17T12:55:37+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,5,Y
拖拉机,https://x.com/tuolaji2024,130000,中信建投：重点关注AI、光模块、电网设备、人形机器人等。 老登实在扛不住了吧，梭哈科技你记住。,2026-05-17T14:19:27+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,6,
大宇,https://x.com/BTCdayu,47000,国内一级投资人，很多人回报极为惊人，可惜我学不来，我十分I人，与人交流耗电极高，唯有独处才能充电，这真是难受了。 想来想去，只有独处、思考、输入/输出适合我。,2026-05-17T11:12:17+00:00,2026-05-17T21:24:00+00:00,crypto,加密,6,
yetone,https://x.com/7id,84000,Debise x 张雪牛逼！,2026-05-16T17:40:55+00:00,2026-05-17T00:27:33+00:00,unclassified,未分类,8,
独立开发者William,https://x.com/DLKFZWilliam2,51000,哈哈哈哈哈哈这个项目真是笑死我了，Chrome插件，叫做Only Ads，一键隐藏所有除了广告的所有网页内容。  我发现最近的一个趋势: 就是在ai时代，搞很严肃产品的流量不是很高；完全 没什么技术 只搞抽象的人的流量也不是很高，  但搞抽象产品的人的流量非常高。 ,,,ai_tech,AI / 大模型,13,
六分之狗仨儿,https://x.com/Luna_Jobs,30000,话说我们厂的程序员真的是卧虎藏龙啊，有一天断网了在大群里聊起来了，有几个哥们儿宣传自己的开源项目，叹为观止，太tm强了,,,unclassified,未分类,16,
马天翼,https://x.com/fkysly,92000,如果非要用 Codex 高级模型，又不舍得充200美金的话，那就走闲鱼大法吧： 1. 搞个阿里云轻量服务器 28元rmb/月搭建一个 Sub2API，或者如果是自己只在家里个人用，更简单了，自己家的 Mac mini 上跑，然后 tailscale 连回内网，总之，有一个服务器能跑 Sub2API。 2. 买一个便宜域名绑定一下 Sub2API,,,ai_tech,AI / 大模型,9,
Orange AI,https://x.com/oran_ge,13000,miclaw 看了一下，还是原来那套小米的手机系统API来回调用的东西，只是换了个名字蹭热点。 小米真是不行了，从硬件到软件，认知都太落伍。,,,ai_tech,AI / 大模型,30,
钱宝,https://x.com/facai988,1010000,金融人必看：十大顶级投资大师 1. 约翰·邓普顿 - 称号：“全球投资之父” - 特点：逆向价值投资者，二战期间抄底欧美股市，年化收益14.5% 2. 本杰明·格雷厄姆 - 称号：“证券分析之父” - 贡献：提出股票投资三法论，分别是横断法、预期法和安全边际法 3. 菲利普·费雪 - 称号：“成长股之王” - 地位：现代投资理论的奠基人，擅长发掘并长期持有超级成长股；同时是趋势投资大师，旗下量子基金年均增长率达到35% 4. 沃伦·巴菲特 - 称号：“股神”“市盈率鼻祖” - 特点：价值投资代表大师，旗下公司连续57年年化收益超过20%；也是美国最负盛名的金融界人物，低本益型基金代表人物 5. 彼得·林奇 - 称号：“基金界的传奇” - 特点：成长型投资代表人物，投资关键在于了解所投公司 6. 乔治·索罗斯 - 称号：“美国共同基金之父” - 成就：68年投资生涯，没有一年赔过钱，被称为“世纪长寿炒股赢家” 7. 约翰·内夫 -市盈利鼻祖 -美国最负盛名的基金人物 8. 约翰·博格尔 - 称号：“指数基金教父” - 贡献：先锋领航集团创始人，推出世界上第一支指数型基金 9. 威廉·江恩 - 称号：“江恩理论的创始人” - 地位：二十世纪最著名的投资家，著有《江恩投资哲学》 10. 罗伊·组伯格 -“美国共同基金之父” - 拥有68年投资经验，被称为世纪长寿炒股赢家,2026-05-17T14:37:55+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,2,Y
Sanbu,https://x.com/sanbuphy,22000,"RT @eliebakouch: we let opus 4.7 and gpt 5.5 run on the nanogpt optimizer speedrun: ~10k runs, 14k H200 hours, 23.9B tokens. opus hits 2930…",2026-05-16T00:56:27+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,21,
fenx,https://x.com/haxfenx,8134,作为穷鬼「开发者」，SF Symbols 无法完成的矢量动效，现在会交给 Jitter 导出 .lottie。 Rive 的导出收费，Lottie Files 和 Spline 的文件限制都无法接受  什么时候 Jitter 也加导出限制的话，我可能选择手动叠加 shape view……,,,unclassified,未分类,36,
周尔复,https://x.com/cholf5,100000,说个恐怖故事，TapTap Maker 发布到现在3个半月，已经上线了至少几百款游戏了，这恐怖的生产效率。对于独立游戏开发者来说，这个平台值得关注，因为这是自带流量的平台。游戏做出来后「怎么让别人知道」是件不容易的事，TapTap 现在在推这个平台，估计会有一定的流量扶持。,2026-05-17T15:15:02+00:00,2026-05-17T21:24:00+00:00,unclassified,未分类,6,
左子祯,https://x.com/zuozizhen,4535,网站的问题需要再审核一下，先重定向到github了，也顺便录了一个视频演示！,,,unclassified,未分类,48,
0x_Miko,https://x.com/Mikocrypto11,420000,很多人做 Polymarket 5m / 15m up/down markets，最大的误区是： 以为价格才是游戏 其实时间才是 短周期市场惩罚的不是“观点错误” 而是： 眼睛慢 手慢 仓位慢 在 long-dated markets 里，聪明钱通常有足够时间把脏盘清干净 但在 5m / 15m markets 里，盘口经常会脏得刚刚好 时间不长 但足够赚钱 edge 就藏在这里 不是你比别人聪明多少 而是你比别人早多少,2026-05-17T14:25:05+00:00,2026-05-17T21:24:00+00:00,crypto,加密,1,Y
干物纯今天吃什么,https://x.com/zty0826,8384,别勾八造 Rust 版的 SQLite 了，就 SQLite 的功能复杂度和测试覆盖质量，完全不需要 Rust 替代。要是 token 多的慌，造个 Go 的吧。可以免去一堆 CGO 或者做 WASM 调用的麻烦。,,,unclassified,未分类,34,
范凯说 AI | AI Insights,https://x.com/fankaishuoai,7119,我现在发现一个升级小龙虾的经验，除了让 AI 帮我改配置之外：  1. 开一个终端窗口 2. 用 `openclaw logs --follow` 打 log，实时输出内容 3. 出现错误信息后，直接粘给 AI  这样定位问题就准确多了，不然 AI 也在那儿瞎试,,,ai_tech,AI / 大模型,36,
Berryxia.AI,https://x.com/berryxia,64000,兄弟们！这个太顶了！  Github 上的 Edit Banana这个开源项目太顶了！！！ 今日登上热榜，直接斩获2800Star！  把AI生成的死图、流程图、架构图、PDF统计图、公式图，一键秒变完全可编辑的 DrawIO / SVG / PPTX！  使用SAM3精准分割 + 本地OCR +,,,ai_tech,AI / 大模型,11,
小熊貓@AIart,https://x.com/max80072,3340000,#HonkaiStarRail #崩坏星穹铁道 #AIイラスト #AIArt #緋英 #Evanescia,2026-05-17T14:17:13+00:00,2026-05-17T21:24:00+00:00,ai_tech,AI / 大模型,1,Y
